.imp,age,race_ethn,year,var,pop,m,q,p,lx,d,L,t,e,c,s,se
2,15,AI/AN,2014,1033,74521,0.013861864440895854,0.013766450108279194,0.9862335498917209,67875.58680881411,934.4058793737058,67408.38386912725,199332.02094968443,2.9367263005938358,0.32124413191185885,0.6787558680881411,0.0016183063287785323
2,16,AI/AN,2014,875,74525,0.011741026501174102,0.01167250291812573,0.9883274970818743,66941.18092944041,1305.8165188824642,66288.27266999918,131923.63708055718,1.9707396142235938,0.33058819070559586,0.6694118092944041,0.0015960279954434905
2,17,AI/AN,2014,589,74009,0.007958491534813334,0.007926948259503255,0.9920730517404968,65635.36441055794,-0,65635.36441055794,65635.36441055794,1,0.3436463558944206,0.6563536441055794,0.0015648943988724087
2,0,White,2014,113387,2073785,0.05467635265950906,0.05322137726337065,0.9467786227366294,100000,5322.137726337067,97338.93113683147,1441755.2505161911,14.417552505161911,0,1,0
2,1,White,2014,60017,2064813,0.029066554695267803,0.0286501737737559,0.9713498262262441,94677.86227366293,2712.537206668174,93321.59367032885,1344416.3193793597,14.199901509112795,0.05322137726337062,0.9467786227366294,3.978878492035855e-4
2,2,White,2014,55200,2070877,0.026655373544638334,0.026304791522613783,0.9736952084773862,91965.32506699476,2419.1287031967076,90755.7607153964,1251094.7257090306,13.603983075117009,0.08034674933005237,0.9196532506699476,3.864882931814368e-4
2,3,White,2014,50787,2086709,0.024338324126651104,0.024045708008962635,0.9759542919910373,89546.19636379805,2153.20169107712,88469.59551825949,1160338.9649936345,12.957992769224301,0.10453803636201953,0.8954619636379805,3.7632179920336824e-4
2,4,White,2014,48907,2087339,0.023430310074214106,0.023158998812620082,0.9768410011873799,87392.99467272093,2023.9342598568473,86381.02754279251,1071869.369475375,12.264934660832155,0.12607005327279064,0.8739299467272094,3.672728751023166e-4
2,5,White,2014,49177,2098704,0.023432079988411895,0.023160727973183155,0.9768392720268169,85369.06041286408,1977.2095855485823,84380.4556200898,985488.3419325824,11.54385836234507,0.14630939587135916,0.8536906041286408,3.5876720302391454e-4
2,6,White,2014,47647,2165271,0.022005097745270683,0.021765620442607662,0.9782343795573923,83391.8508273155,1815.0753731138975,82484.31314075855,901107.8863124927,10.805706761185462,0.16608149172684494,0.8339185082731551,3.5045789342897786e-4
2,7,White,2014,44418,2189414,0.020287620340419858,0.02008389314091959,0.9799161068590804,81576.7754542016,1638.3792410029855,80757.58583370011,818623.5731717341,10.035007741036802,0.184232245457984,0.815767754542016,3.428299599394869e-4
2,8,White,2014,40454,2195029,0.01842982484513872,0.01826154629532659,0.9817384537046734,79938.39621319862,1459.7987232214946,79208.49685158787,737865.987338034,9.23043271183623,0.20061603786801385,0.7993839621319861,3.359445996585565e-4
2,9,White,2014,38023,2210057,0.017204533638725154,0.017057797909754677,0.9829422020902453,78478.59748997712,1338.672056225012,77809.26146186462,658657.4904864461,8.392829529994676,0.2152140251002288,0.7847859748997712,3.2980973179922677e-4
2,10,White,2014,35686,2244865,0.015896724301906796,0.015771367759339697,0.9842286322406603,77139.92543375211,1216.60213294375,76531.62436728024,580848.2290245815,7.529800239739859,0.2286007456624789,0.7713992543375211,3.2418390404552515e-4
2,11,White,2014,33875,2239398,0.015126833193563628,0.015013281491161223,0.9849867185088388,75923.32330080836,1139.8582244594727,75353.39418857862,504316.6046573012,6.642446388433206,0.24076676699191635,0.7592332330080837,3.190710804731647e-4
2,12,White,2014,33923,2236507,0.015167848792782674,0.015053682800536152,0.9849463171994638,74783.46507634889,1125.766561984332,74220.58179535673,428963.2104687225,5.736070266746531,0.2521653492365111,0.7478346507634889,3.142807765263321e-4
2,13,White,2014,34736,2301352,0.015093736203761962,0.014980678995307757,0.9850193210046922,73657.69851436456,1103.4423369768483,73105.97734587613,354742.6286733658,4.81609710632195,0.26342301485635444,0.7365769851436456,3.095496934061985e-4
2,14,White,2014,34461,2348888,0.014671197604994364,0.014564359308293308,0.9854356406917066,72554.25617738771,1056.7062563134386,72025.90304923098,281636.6513274898,3.881738524600364,0.2744574382261229,0.7255425617738771,3.0491242881618434e-4
2,15,White,2014,33517,2335221,0.014352817142360402,0.014250549377662517,0.9857494506223374,71497.54992107427,1018.8793655321642,70988.11023830819,209610.74827825872,2.9317193177898657,0.28502450078925734,0.7149754992107427,3.00471574645341e-4
2,16,White,2014,30147,2341143,0.012877043392906799,0.012794664666850437,0.9872053353331496,70478.6705555421,1556.4687140891328,69700.43619849754,138622.63803995063,1.96687362215078,0.2952132944445789,0.7047867055554211,2.9618968963427355e-4
2,17,White,2014,22292,2357827,0.00945446803349016,0.009409984833090121,0.9905900151669099,68922.20184145297,-0,68922.20184145297,68922.20184145297,1,0.3107779815854702,0.6892220184145298,2.8964856191836117e-4
2,0,AI/AN,2015,6601,76606,0.08616818525964023,0.08260904932640023,0.9173909506735998,100000,8260.904932640027,95869.54753367999,1368770.2537491512,13.687702537491512,0,1,0
